,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.536,https://api.spotify.com/v1/audio-analysis/3DlgDXIYtnWtJKiB8bZQMv,0.777,201733,0.662,3DlgDXIYtnWtJKiB8bZQMv,4.61e-06,7,0.593,-8.393,1,0.27,111.13,4,https://api.spotify.com/v1/tracks/3DlgDXIYtnWtJKiB8bZQMv,audio_features,spotify:track:3DlgDXIYtnWtJKiB8bZQMv,0.634
1,0.0192,https://api.spotify.com/v1/audio-analysis/3au0pvHqcTtszysswan6AO,0.902,162750,0.497,3au0pvHqcTtszysswan6AO,0.0,7,0.109,-9.236,1,0.266,120.016,4,https://api.spotify.com/v1/tracks/3au0pvHqcTtszysswan6AO,audio_features,spotify:track:3au0pvHqcTtszysswan6AO,0.463
2,0.471,https://api.spotify.com/v1/audio-analysis/4YdRnTnXYwgI48kkzWy6uk,0.667,329542,0.465,4YdRnTnXYwgI48kkzWy6uk,0.0,1,0.101,-10.337,1,0.342,133.859,4,https://api.spotify.com/v1/tracks/4YdRnTnXYwgI48kkzWy6uk,audio_features,spotify:track:4YdRnTnXYwgI48kkzWy6uk,0.474
3,0.732,https://api.spotify.com/v1/audio-analysis/7LBdv0ek7Tj2s0bgxmlrC6,0.643,184250,0.532,7LBdv0ek7Tj2s0bgxmlrC6,0.00109,6,0.111,-9.712,1,0.374,73.902,4,https://api.spotify.com/v1/tracks/7LBdv0ek7Tj2s0bgxmlrC6,audio_features,spotify:track:7LBdv0ek7Tj2s0bgxmlrC6,0.299
4,0.0102,https://api.spotify.com/v1/audio-analysis/0Q8A7MPsoFg72xcVFBsS8Q,0.787,150108,0.382,0Q8A7MPsoFg72xcVFBsS8Q,0.0,1,0.092,-9.983,1,0.45,86.779,4,https://api.spotify.com/v1/tracks/0Q8A7MPsoFg72xcVFBsS8Q,audio_features,spotify:track:0Q8A7MPsoFg72xcVFBsS8Q,0.392
5,0.322,https://api.spotify.com/v1/audio-analysis/5AdhyCxxguV1wXde1vqgWC,0.663,277333,0.572,5AdhyCxxguV1wXde1vqgWC,0.0,10,0.171,-10.593,0,0.102,117.051,4,https://api.spotify.com/v1/tracks/5AdhyCxxguV1wXde1vqgWC,audio_features,spotify:track:5AdhyCxxguV1wXde1vqgWC,0.494
6,0.295,https://api.spotify.com/v1/audio-analysis/0HU8CeTestQjoRF2ekaLqx,0.735,211296,0.639,0HU8CeTestQjoRF2ekaLqx,0.0,6,0.108,-7.464,0,0.247,158.865,4,https://api.spotify.com/v1/tracks/0HU8CeTestQjoRF2ekaLqx,audio_features,spotify:track:0HU8CeTestQjoRF2ekaLqx,0.695
7,0.132,https://api.spotify.com/v1/audio-analysis/16DHWSDlEa5K0JbMHnuMXM,0.752,210133,0.536,16DHWSDlEa5K0JbMHnuMXM,0.0,9,0.281,-7.444,0,0.452,129.93,4,https://api.spotify.com/v1/tracks/16DHWSDlEa5K0JbMHnuMXM,audio_features,spotify:track:16DHWSDlEa5K0JbMHnuMXM,0.628
8,0.278,https://api.spotify.com/v1/audio-analysis/475SvHOt2z2mp5dK2pjSJ8,0.889,171013,0.596,475SvHOt2z2mp5dK2pjSJ8,0.0,9,0.0798,-8.23,0,0.397,97.994,5,https://api.spotify.com/v1/tracks/475SvHOt2z2mp5dK2pjSJ8,audio_features,spotify:track:475SvHOt2z2mp5dK2pjSJ8,0.899
9,0.326,https://api.spotify.com/v1/audio-analysis/4BJpGfAf7hJiUeZilWT2Mf,0.775,214955,0.554,4BJpGfAf7hJiUeZilWT2Mf,0.0,7,0.108,-6.448,0,0.323,144.047,4,https://api.spotify.com/v1/tracks/4BJpGfAf7hJiUeZilWT2Mf,audio_features,spotify:track:4BJpGfAf7hJiUeZilWT2Mf,0.175
